video_id,username,caption,likes,hashtags,date,comment,processed_caption,processed_comment,processed_text
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,Dan sayangnya kita masih main lumpur di 2013🗿,,sayangnya main lumpur,sayangnya main lumpur
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"marketing bos,jngn smpe tergiur""""""",,marketing bos sampai  tergiur,marketing bos sampai  tergiur
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,harga btc 2013,,harga btc,harga btc
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,simpelnya gini dah. saat ini ada duit 200jt trs all in btc. trs didiamkan saja. apakah duitnya bakal ilang. kalau bisa ilang bedanya apa ama slot. kalau emas kan mudah kita beli emas disimpan ya udah..,,simpelnya gini duit terus  all btc terus  didiamkan duitnya ilang ilang bedanya sama  slot emas mudah beli emas disimpan,simpelnya gini duit terus  all btc terus  didiamkan duitnya ilang ilang bedanya sama  slot emas mudah beli emas disimpan
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"170miliar🗿 mimpi.harga sekarang udah 1,6-1,9 miliar bro""""""",,miliar mimpi harga miliar bro,miliar mimpi harga miliar bro
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"Ogahaku rugi hampir 200juta karena bitcoin emas dinar dirham""""""",,ogahaku rugi juta bitcoin emas dinar dirham,ogahaku rugi juta bitcoin emas dinar dirham
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,emang bit coin fungsinya apa,,memang  bit coin fungsinya,memang  bit coin fungsinya
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"guna bitcoin itu apa ya?""",,bitcoin,bitcoin
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,gk jauh beda sama judol,,beda judol,beda judol
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,bisa di tarik gak uang 170m itu??,,tarik uang,tarik uang
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,apaan yek,,yek,yek
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,kocak 170m GK salah tu🤣🤣,,kocak salah itu ,kocak salah itu
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,bitcoin itu apa sih semacam emas perak atw apa sih 😭,,bitcoin sih emas perak atau  sih,bitcoin sih emas perak atau  sih
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,harga bitcoin di 2013,,harga bitcoin,harga bitcoin
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,beli berapa?,,beli,beli
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"harga per 1 btc 2013 658K, sekarang per 1btc 1.7M""""""",,harga btc btc,harga btc btc
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"minimal mau beli btc uang puluhan juta, uang cuman ratusan ribu tapi mau beli btc wkwk🤣""""""",,minimal beli btc uang puluhan juta uang ratusan ribu beli btc wkwk,minimal beli btc uang puluhan juta uang ratusan ribu beli btc wkwk
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,Fungsi bitcoin serius nanya🙏,,fungsi bitcoin serius tanya ,fungsi bitcoin serius tanya
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,sampai kapan kita mau jual bitcoin?,,jual bitcoin,jual bitcoin
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"maaf bitcoin itu apa?""",,maaf bitcoin,maaf bitcoin
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,tetep berthn xrp🔥,,tetap  berthn xrp,tetap  berthn xrp
7508357677718801682,cripthomasadepan.to2,,344400.0,,2025-11-09 13:23:51.641446,"iya tembus segitu, Tapi Ada nggak yang mau beli pakek uang cash 😂""""""",,iya tembus segitu beli pakai  uang cash,iya tembus segitu beli pakai  uang cash
